LocationID,Borough
1,EWR
2,Queens
3,Bronx
4,Manhattan
5,Staten Island
6,Staten Island
7,Queens
8,Queens
9,Queens
10,Queens
11,Brooklyn
12,Manhattan
13,Manhattan
14,Brooklyn
15,Queens
16,Queens
17,Brooklyn
18,Bronx
19,Queens
20,Bronx
21,Brooklyn
22,Brooklyn
23,Staten Island
24,Manhattan
25,Brooklyn
26,Brooklyn
27,Queens
28,Queens
29,Brooklyn
30,Queens
31,Bronx
32,Bronx
33,Brooklyn
34,Brooklyn
35,Brooklyn
36,Brooklyn
37,Brooklyn
38,Queens
39,Brooklyn
40,Brooklyn
41,Manhattan
42,Manhattan
43,Manhattan
44,Staten Island
45,Manhattan
46,Bronx
47,Bronx
48,Manhattan
49,Brooklyn
50,Manhattan
51,Bronx
52,Brooklyn
53,Queens
54,Brooklyn
55,Brooklyn
56,Queens
57,Queens
58,Bronx
59,Bronx
60,Bronx
61,Brooklyn
62,Brooklyn
63,Brooklyn
64,Queens
65,Brooklyn
66,Brooklyn
67,Brooklyn
68,Manhattan
69,Bronx
70,Queens
71,Brooklyn
72,Brooklyn
73,Queens
74,Manhattan
75,Manhattan
76,Brooklyn
77,Brooklyn
78,Bronx
79,Manhattan
80,Brooklyn
81,Bronx
82,Queens
83,Queens
84,Staten Island
85,Brooklyn
86,Queens
87,Manhattan
88,Manhattan
89,Brooklyn
90,Manhattan
91,Brooklyn
92,Queens
93,Queens
94,Bronx
95,Queens
96,Queens
97,Brooklyn
98,Queens
99,Staten Island
100,Manhattan
101,Queens
102,Queens
103,Manhattan
104,Manhattan
105,Manhattan
106,Brooklyn
107,Manhattan
108,Brooklyn
109,Staten Island
110,Staten Island
111,Brooklyn
112,Brooklyn
113,Manhattan
114,Manhattan
115,Staten Island
116,Manhattan
117,Queens
118,Staten Island
119,Bronx
120,Manhattan
121,Queens
122,Queens
123,Brooklyn
124,Queens
125,Manhattan
126,Bronx
127,Manhattan
128,Manhattan
129,Queens
130,Queens
131,Queens
132,Queens
133,Brooklyn
134,Queens
135,Queens
136,Bronx
137,Manhattan
138,Queens
139,Queens
140,Manhattan
141,Manhattan
142,Manhattan
143,Manhattan
144,Manhattan
145,Queens
146,Queens
147,Bronx
148,Manhattan
149,Brooklyn
150,Brooklyn
151,Manhattan
152,Manhattan
153,Manhattan
154,Brooklyn
155,Brooklyn
156,Staten Island
157,Queens
158,Manhattan
159,Bronx
160,Queens
161,Manhattan
162,Manhattan
163,Manhattan
164,Manhattan
165,Brooklyn
166,Manhattan
167,Bronx
168,Bronx
169,Bronx
170,Manhattan
171,Queens
172,Staten Island
173,Queens
174,Bronx
175,Queens
176,Staten Island
177,Brooklyn
178,Brooklyn
179,Queens
180,Queens
181,Brooklyn
182,Bronx
183,Bronx
184,Bronx
185,Bronx
186,Manhattan
187,Staten Island
188,Brooklyn
189,Brooklyn
190,Brooklyn
191,Queens
192,Queens
193,Queens
194,Manhattan
195,Brooklyn
196,Queens
197,Queens
198,Queens
199,Bronx
200,Bronx
201,Queens
202,Manhattan
203,Queens
204,Staten Island
205,Queens
206,Staten Island
207,Queens
208,Bronx
209,Manhattan
210,Brooklyn
211,Manhattan
212,Bronx
213,Bronx
214,Staten Island
215,Queens
216,Queens
217,Brooklyn
218,Queens
219,Queens
220,Bronx
221,Staten Island
222,Brooklyn
223,Queens
224,Manhattan
225,Brooklyn
226,Queens
227,Brooklyn
228,Brooklyn
229,Manhattan
230,Manhattan
231,Manhattan
232,Manhattan
233,Manhattan
234,Manhattan
235,Bronx
236,Manhattan
237,Manhattan
238,Manhattan
239,Manhattan
240,Bronx
241,Bronx
242,Bronx
243,Manhattan
244,Manhattan
245,Staten Island
246,Manhattan
247,Bronx
248,Bronx
249,Manhattan
250,Bronx
251,Staten Island
252,Queens
253,Queens
254,Bronx
255,Brooklyn
256,Brooklyn
257,Brooklyn
258,Queens
259,Bronx
260,Queens
261,Manhattan
262,Manhattan
263,Manhattan
264,Unknown
265,Unknown
